name,language,id,bio,version
Makhosi Ngiba,isiZulu,CTM3Y3TZOLC7TPDU,"Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Suspendisse sit amet ullamcorper sem. Donec lobortis eleifend condimentum. Aenean finibus in tortor vel aliquet. Proin tempus eu risus nec mattis.",1.18
Lorato Bogosi,Setswana,EEZ0KS5E0RXACAIA,"Morbi ultricies consequat ligula posuere eleifend. Nam rutrum sollicitudin ante tempus consequat. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Curabitur ultricies id urna nec ultrices.",5.48
Modisaotsile Bolokwe,Setswana,DN068KNEOAQ8LM19,"Nullam ac sodales dolor, eu facilisis dui. Duis commodo orci ut dolor iaculis facilisis. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Donec congue sapien vel euismod interdum. Sed nec suscipit ligula.",4.23
Mxolisi Mhlongo,isiZulu,Q2HFB19RPLHIZXKH,"Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Maecenas tempus neque ut porttitor malesuada. . Duis commodo orci ut dolor iaculis facilisis.",7.49
Moni Sisodiya,Hindi,3CR7CN74GCKXWUQF,Vestibulum pharetra libero et velit gravida euismod. Donec congue sapien vel euismod interdum. Fusce congue aliquam elit ut luctus. Ut viverra quis eros eu tincidunt. Phasellus tincidunt sollicitudin posuere.,4.58
Anna Jónsdóttir,Icelandic,CKJW1XVW90VWO4Y1,"Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Donec lobortis eleifend condimentum. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien.",5.78
Darko Basic,Bosnian,FWT1CZQOIVRJTXRD,"Donec congue sapien vel euismod interdum. Fusce eu ultrices elit, vel posuere neque. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna.",2.27
Kedibonye Magogwe,Setswana,PCT0HLRPZLDSSDU1,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Quisque maximus sodales mauris ut elementum.",5.57
Nobuhle Xaba,isiZulu,5K1K8V1OUUFKQ2UV,Maecenas non arcu nulla. Morbi ac tellus erat.,1.18
Monty Dubey,Hindi,B7SF955NFGAEBRXU,"Maecenas quis nisi nunc. Maecenas tempus neque ut porttitor malesuada. Morbi ultricies consequat ligula posuere eleifend. Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor.",6.69
Richa Choukse,Hindi,BADWLBP8CNJNBEC8,"Nunc tincidunt laoreet laoreet. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Curabitur quis commodo quam. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci.",7.8
Dzenan Imamovic,Bosnian,FVAHD0OY99X9DIRW,"Nam tristique feugiat est vitae mollis. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Nullam ac sodales dolor, eu facilisis dui. Morbi finibus dui sed est fringilla ornare. Quisque efficitur vel sapien ut imperdiet.",1.64
Amol Bhatnagar,Hindi,3HPSETKL9VOW2WTL,"Vestibulum pharetra libero et velit gravida euismod. Nam semper gravida nunc, sit amet elementum ipsum.",3.28
Ingibjörg Ólafsdóttir,Icelandic,9BXLMMM1PQOZRHCR,Maecenas non arcu nulla. Sed nec suscipit ligula. Fusce congue aliquam elit ut luctus.,9.59
Shweta Chourasia,Hindi,9GAO62FXPQMUTTLJ,"Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Quisque maximus sodales mauris ut elementum. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi.",5.84
Ayanda Ndimande,isiZulu,VPK9MQRKX2L847HQ,"Duis commodo orci ut dolor iaculis facilisis. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus.",2.89
Sigurjón Guðmundsson,Icelandic,IAYT285H2U8JU94F,"Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Ut viverra quis eros eu tincidunt. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et.",4.85
Jóhannes Jóhannsson,Icelandic,J2RAROEJGKMR72I8,"Duis pellentesque ultrices convallis. Nulla finibus massa at viverra facilisis. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo.",4.83
Neo Dikgaka,Setswana,OQRF6Y37N20JILOC,"Nam tristique feugiat est vitae mollis. Sed nec suscipit ligula. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. Duis pellentesque ultrices convallis. Maecenas quis nisi nunc.",1.07
Sanja Jankovic,Bosnian,HD94EKIPA6WAL05C,"Phasellus tincidunt sollicitudin posuere. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Donec congue sapien vel euismod interdum. Nullam ac sodales dolor, eu facilisis dui.",1.06
Mogorosi Bakwena,Setswana,FTZM8YDJJUH1OEM7,Vestibulum pharetra libero et velit gravida euismod. Suspendisse sit amet ullamcorper sem.,6.03
Ronak Gupta,Hindi,ZYPDGK8UDYJPTRKN,"Sed laoreet posuere sapien, ut feugiat nibh gravida at. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. In sed ultricies lorem. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna.",7.18
Ditiro Kgosi,Setswana,67C5ET66U59WYJ6K,"Fusce congue aliquam elit ut luctus. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Cras dictum dolor lacinia lectus vehicula rutrum. Etiam congue dignissim volutpat.",4.56
Jelena Maric,Bosnian,JTW9DH3B9QGB39JY,"Vestibulum pharetra libero et velit gravida euismod. Etiam malesuada blandit erat, nec ultricies leo maximus sed.",3.39
Esha Sastry,Hindi,4OJULHY03Z6XTRMW,"Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Nullam ac sodales dolor, eu facilisis dui.",5.1
Chetana Hegde,Hindi,J9GS1RODDZL325LK,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Nulla finibus massa at viverra facilisis. Nam tristique feugiat est vitae mollis. Phasellus tincidunt sollicitudin posuere.",9.99
Rahul Shukla,Hindi,2ANVMAVG6YX2VT6N,"Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula.",1.72
Samra Delic,Bosnian,BXJWNTJ2TDID61PJ,"Donec pellentesque ultrices mi, non consectetur eros luctus non. Sed nec suscipit ligula.",2.5
Mohan Pandey,Hindi,XAHKVLM3I1WSPNIW,"Maecenas quis nisi nunc. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Morbi ac tellus erat.",8.1
Haris Osmanovic,Bosnian,ZDXF5KESMW9XF2TJ,"Nam rutrum sollicitudin ante tempus consequat. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien.",9.41
Kenosi Kwenaemang,Setswana,DX2IYTQ9IMY75W08,"Sed laoreet posuere sapien, ut feugiat nibh gravida at. Donec lobortis eleifend condimentum.",9.01
Nontobeko Nzimande,isiZulu,Y9C4HQHTOP74DFZT,"Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet. Morbi vitae nisi lacinia, laoreet lorem nec, egestas orci. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Nam laoreet, nunc non suscipit interdum, justo turpis vestibulum massa, non vulputate ex urna at purus.",4.77
Sanjay Puranik,Hindi,WF2WP6S0HX8GR8GZ,"Ut viverra quis eros eu tincidunt. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Nam semper gravida nunc, sit amet elementum ipsum.",3.37
Sethunya Mpšwe,Setswana,85MVUXVQ5H5HPA4F,Quisque maximus sodales mauris ut elementum. Duis commodo orci ut dolor iaculis facilisis. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi.,1.75
Dileep Chaturvedi,Hindi,O95BY1KDMCEYQRFH,"Phasellus tincidunt sollicitudin posuere. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Vivamus id faucibus velit, id posuere leo. Nullam ac sodales dolor, eu facilisis dui. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo.",4.94
Adnan Spahic,Bosnian,97IIDMHAJMBPI4ON,"Duis commodo orci ut dolor iaculis facilisis. Vivamus id faucibus velit, id posuere leo.",9.1
Madhur Jain,Hindi,FM300CZ0VU9LTNTE,"Fusce eu ultrices elit, vel posuere neque. Donec congue sapien vel euismod interdum. Vivamus id faucibus velit, id posuere leo. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et.",4.99
Nayan Mittal,Hindi,S879KFFIHDNK8GSE,"Suspendisse sit amet ullamcorper sem. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Duis commodo orci ut dolor iaculis facilisis.",3.99
Kabelo Morwe,Setswana,JJDPB2983QRVATD3,"Nullam ac sodales dolor, eu facilisis dui. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. . Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Curabitur ultricies id urna nec ultrices.",8.86
Einar Einarsson,Icelandic,ZWMFEUEBNYTW2WPB,"Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Duis pellentesque ultrices convallis. Nullam sodales convallis mauris, sit amet lobortis magna auctor sit amet. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Donec congue sapien vel euismod interdum.",9.05
Luka Lovren,Bosnian,9S4SGEQWBKMRISYZ,"Maecenas tempus neque ut porttitor malesuada. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Curabitur quis commodo quam. Nam rutrum sollicitudin ante tempus consequat.",5.22
Sigríður Einarsdóttir,Icelandic,4IJVD6OE3C7IX3ZG,Aenean finibus in tortor vel aliquet. Nam tristique feugiat est vitae mollis.,6.63
Sonu Jain,Hindi,0OIB5SU9JB2PBJDV,"Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Curabitur ultricies id urna nec ultrices.",9.66
Boitumelo Ngwako,Setswana,INZITSS95L9V52JE,"Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Nam tristique feugiat est vitae mollis. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. In sed ultricies lorem.",9.07
Shilpa Bhatia,Hindi,SU0W3T6TF8G3JY5M,"Morbi ultricies consequat ligula posuere eleifend. Donec pellentesque ultrices mi, non consectetur eros luctus non. Quisque efficitur vel sapien ut imperdiet. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",4.43
Modise Tau,Setswana,U6SF3N4JXJEQSC1P,"Vivamus id faucibus velit, id posuere leo. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Fusce eu ultrices elit, vel posuere neque. Nunc tincidunt laoreet laoreet.",6.23
Reena Shrivastav,Hindi,Y57EEOVURYX1OA1P,Donec lobortis eleifend condimentum. Curabitur ultricies id urna nec ultrices. Maecenas non arcu nulla.,3.07
Thabani Ngubani,isiZulu,LR7FI8WEE3SLTW02,Cras dictum dolor lacinia lectus vehicula rutrum. Nulla finibus massa at viverra facilisis.,5.99
Gunnar Gunnarsson,Icelandic,UVI6EKJNMC3VE3WU,"In sed ultricies lorem. Donec congue sapien vel euismod interdum. Duis commodo orci ut dolor iaculis facilisis. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et.",8.7
Lejla Selimagic,Bosnian,ESBBT644VZ64SSEN,"Vivamus id faucibus velit, id posuere leo. Etiam congue dignissim volutpat. Donec lobortis eleifend condimentum. Fusce eu ultrices elit, vel posuere neque.",5.59
Kgosietsile Bogatsu,Setswana,0B8IOVL2NSVJVV6T,"Curabitur quis commodo quam. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Nullam ac sodales dolor, eu facilisis dui. Duis commodo orci ut dolor iaculis facilisis.",6.78
Sushant Bhargav,Hindi,PRWA7HE1GJ7OCYQM,Proin tempus eu risus nec mattis. Maecenas tempus neque ut porttitor malesuada. Quisque efficitur vel sapien ut imperdiet. Quisque efficitur vel sapien ut imperdiet.,5.36
Monika Nayak,Hindi,RO0ZCWFTY6MJ66AZ,"Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Quisque efficitur vel sapien ut imperdiet. Nam rutrum sollicitudin ante tempus consequat. Curabitur ultricies id urna nec ultrices. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula.",7.58
Guðrún Guðmundsdóttir,Icelandic,R1TRJT5TWANYO88D,Maecenas non arcu nulla. In sed ultricies lorem.,4.65
Shakti Menon,Hindi,J1NSHQXRWA7CY0AZ,"Vivamus id faucibus velit, id posuere leo. Etiam malesuada blandit erat, nec ultricies leo maximus sed. Nam semper gravida nunc, sit amet elementum ipsum.",5.16
Ndumiso Hlatshwayo,isiZulu,533XA8H67VO8CSGQ,"Quisque efficitur vel sapien ut imperdiet. Nam semper gravida nunc, sit amet elementum ipsum. Donec pellentesque ultrices mi, non consectetur eros luctus non. Vestibulum pharetra libero et velit gravida euismod. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",5.24
Lucky Shastry,Hindi,3OBF3U08WI1QF63N,Morbi ultricies consequat ligula posuere eleifend. Suspendisse sit amet ullamcorper sem.,7.86
Pule Matlhaku,Setswana,UPATVXM44DAFUDI7,"Maecenas tempus neque ut porttitor malesuada. Vivamus id faucibus velit, id posuere leo. Morbi finibus dui sed est fringilla ornare.",4.12
Raju Rathore,Hindi,QQMNYP788DEFG4IS,"Nam rutrum sollicitudin ante tempus consequat. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero.",9.86
Xolani Ngcobo,isiZulu,SXWZ4IYT5VZA6WEE,"Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Fusce eu ultrices elit, vel posuere neque. Curabitur quis commodo quam.",4.77
Meenakshi Benjaree,Hindi,933PPBA946YX1K4X,Maecenas tempus neque ut porttitor malesuada. Duis pellentesque ultrices convallis.,7.9
Ólafur Magnússon,Icelandic,NWY9HV455M3W8QKY,"Morbi ultricies consequat ligula posuere eleifend. Duis pellentesque ultrices convallis. Vestibulum pharetra libero et velit gravida euismod. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et.",2.09
Samir Simic,Bosnian,6H2IO7A62ZVUXGKZ,"Etiam malesuada blandit erat, nec ultricies leo maximus sed. Quisque maximus sodales mauris ut elementum. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",6.93
Swarnika Soni,Hindi,4GJF8C6P1Y5RFPMC,"Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Nunc tincidunt laoreet laoreet.",4.82
Lavanya Mittal,Hindi,4Z09CO5IJH7CEUD2,"Suspendisse sit amet ullamcorper sem. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo.",1.08
Bontle Mokgatle,Setswana,4Y497GAOTAFUJDIC,"Maecenas non arcu nulla. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",1.92
Prashant Chourey,Hindi,J4NMMNAALGOIZY8V,"Etiam malesuada blandit erat, nec ultricies leo maximus sed. Suspendisse potenti. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Ut viverra quis eros eu tincidunt.",8.59
Prakash Malviya,Hindi,P442H9CEHIU6HAFV,"Proin tempus eu risus nec mattis. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Vivamus id faucibus velit, id posuere leo. In id elit malesuada, pulvinar mi eu, imperdiet nulla. Donec pellentesque ultrices mi, non consectetur eros luctus non.",8.21
Ivana Kalic,Bosnian,31VIE8WWDJWKE5YL,"Quisque efficitur vel sapien ut imperdiet. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna.",6.99
Ajeet Vasav,Hindi,ODNPTWVSRBPII0BH,"Aenean finibus in tortor vel aliquet. Integer vehicula, arcu sit amet egestas efficitur, orci justo interdum massa, eget ullamcorper risus ligula tristique libero. Morbi finibus dui sed est fringilla ornare. Morbi finibus dui sed est fringilla ornare. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros.",3.6
Jóhanna Jóhannsdóttir,Icelandic,ZI21GM8B08FVLMF0,"In sed ultricies lorem. Etiam malesuada blandit erat, nec ultricies leo maximus sed.",4.93
Seema Thapar,Hindi,IZSO10C5ZHVYQ5O2,"Duis commodo orci ut dolor iaculis facilisis. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien. Maecenas tempus neque ut porttitor malesuada. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et.",1.79
María Stefánsdóttir,Icelandic,KWH2RVHSB25MYGL9,"In id elit malesuada, pulvinar mi eu, imperdiet nulla. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi. Ut viverra quis eros eu tincidunt. Nam rutrum sollicitudin ante tempus consequat.",5.21
Denis Terzic,Bosnian,1WQO4VGBS2U7DOSL,"Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Curabitur quis commodo quam. Curabitur ultricies id urna nec ultrices. Nam rutrum sollicitudin ante tempus consequat. Morbi finibus dui sed est fringilla ornare.",6.32
Ana Livic,Bosnian,8JYVK7SM07YQOVQ3,"Nam tristique feugiat est vitae mollis. Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Pellentesque massa sem, scelerisque sit amet odio id, cursus tempor urna. Proin tempus eu risus nec mattis. Sed eu libero maximus nunc lacinia lobortis et sit amet nisi.",5.93
Bukhosi Bhengu,isiZulu,AFYXL0UNGMU0B1H2,"Curabitur quis commodo quam. Curabitur sed condimentum felis, ut luctus eros. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Sed nec suscipit ligula.",9.37
Siyabonga Sithole,isiZulu,NJDX77JXV51CNGF5,"Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Sed laoreet posuere sapien, ut feugiat nibh gravida at.",8.22
Meena Dubey,Hindi,GCJGYXSPDEFF9BTN,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam consequat enim lorem, at tincidunt velit ultricies et. Donec lobortis eleifend condimentum. Morbi ac tellus erat. Maecenas quis nisi nunc.",2.95
Chandrika Gupta,Hindi,7KFJHS86WKTL6Q12,"Aliquam sollicitudin ante ligula, eget malesuada nibh efficitur et. Suspendisse sit amet ullamcorper sem. Etiam mauris magna, fermentum vitae aliquet eu, cursus vitae sapien.",5.35
Akhilesh Khare,Hindi,ATINHMT01VNMMDCP,"Donec congue sapien vel euismod interdum. Suspendisse potenti. Nullam ac sodales dolor, eu facilisis dui. Nam tristique feugiat est vitae mollis. Curabitur ultricies id urna nec ultrices.",3.68
Motsumi Basiang,Setswana,MUELSFQENUOHGBZ3,"Cras dictum dolor lacinia lectus vehicula rutrum. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Donec congue sapien vel euismod interdum.",5.23
Neha Benjaree,Hindi,5VTSZUD0SA9JVL40,Morbi ultricies consequat ligula posuere eleifend. Nulla finibus massa at viverra facilisis. Nam tristique feugiat est vitae mollis.,5.73
Kristín Sigurðardóttir,Icelandic,ZP5TBBYX6RI2UJ31,"Cras dictum dolor lacinia lectus vehicula rutrum. Cras dictum dolor lacinia lectus vehicula rutrum. Duis luctus, lacus eu aliquet convallis, purus elit malesuada ex, vitae rutrum ipsum dui ut magna. Fusce congue aliquam elit ut luctus. Duis commodo orci ut dolor iaculis facilisis.",2.8
Rohini Vasav,Hindi,UEFML43TCGS04KWM,"Ut accumsan, est vel fringilla varius, purus augue blandit nisl, eu rhoncus ligula purus vel dolor. Ut maximus, libero nec facilisis fringilla, ex sem sollicitudin leo, non congue tortor ligula in eros. Nam rutrum sollicitudin ante tempus consequat. Aliquam scelerisque pretium tellus, sed accumsan est ultrices id. Suspendisse sit amet ullamcorper sem.",9.3
Sunil Kapoor,Hindi,VY2A0APGVHK5NAW2,"Proin tempus eu risus nec mattis. Ut dictum, ligula eget sagittis maximus, tellus mi varius ex, a accumsan justo tellus vitae leo. In id elit malesuada, pulvinar mi eu, imperdiet nulla.",8.04
Zamokuhle Zulu,isiZulu,XU7BX2F8M5PVZ1EF,Etiam congue dignissim volutpat. Phasellus tincidunt sollicitudin posuere. Phasellus tincidunt sollicitudin posuere. Nam tristique feugiat est vitae mollis.,8.39
Bhupesh Menon,Hindi,0CEPNRDV98KT3ORP,"Maecenas tempus neque ut porttitor malesuada. Phasellus massa ligula, hendrerit eget efficitur eget, tincidunt in ligula. Quisque mauris ligula, efficitur porttitor sodales ac, lacinia non ex. Maecenas quis nisi nunc.",2.69
